path	hard_hits	soft_hits	categories	claim_id	audit_status	effective_status	claim_type	bucket
docs/3D_CORRECTION_MASTER_NOTE.md	0	3	superseded-memo-cite:3	3d_correction_master_note	unaudited	meta	meta	misc
docs/A1_QUBIT_INTERPRETATION_NOTE_2026-05-20.md	0	5	superseded-memo-cite:5	a1_qubit_interpretation_note_2026-05-20	unaudited	meta	meta	misc
docs/A3_OPTION_C_BRANNEN_RIVERO_PHYSICAL_LATTICE_BOUNDED_OBSTRUCTION_NOTE_2026-05-08_optC.md	0	1	superseded-memo-cite:1	a3_option_c_brannen_rivero_physical_lattice_bounded_obstruction_note_2026-05-08_optc	unaudited	unaudited	bounded_theorem	misc
docs/A3_R1_REVIEW_CONFIRMS_OBSTRUCTION_NOTE_2026-05-08_r1hr.md	0	1	superseded-memo-cite:1	a3_r1_review_confirms_obstruction_note_2026-05-08_r1hr	unaudited	unaudited	bounded_theorem	misc
docs/A3_R2_REVIEW_CONFIRMS_EXHAUSTION_NOTE_2026-05-08_r2hr.md	0	3	superseded-memo-cite:3	a3_r2_review_confirms_exhaustion_note_2026-05-08_r2hr	unaudited	unaudited	bounded_theorem	misc
docs/A3_R3_REVIEW_CONFIRMS_OBSTRUCTION_NOTE_2026-05-08_r3hr.md	0	1	superseded-memo-cite:1	a3_r3_review_confirms_obstruction_note_2026-05-08_r3hr	unaudited	unaudited	bounded_theorem	misc
docs/A3_R4_REVIEW_CONFIRMED_NOTE_2026-05-08_r4hr.md	0	2	superseded-memo-cite:2	a3_r4_review_confirmed_note_2026-05-08_r4hr	unaudited	unaudited	bounded_theorem	misc
docs/A3_R5_REVIEW_CONFIRMS_OBSTRUCTION_NOTE_2026-05-08_r5hr.md	0	1	superseded-memo-cite:1	a3_r5_review_confirms_obstruction_note_2026-05-08_r5hr	unaudited	unaudited	bounded_theorem	misc
docs/A3_ROUTE1_HIGGS_YUKAWA_C3_BREAKING_BOUNDED_OBSTRUCTION_NOTE_2026-05-08_r1.md	0	2	superseded-memo-cite:2	a3_route1_higgs_yukawa_c3_breaking_bounded_obstruction_note_2026-05-08_r1	unaudited	unaudited	bounded_theorem	misc
docs/A3_ROUTE2_SINGLE_CLOCK_C3_OBSTRUCTION_NOTE_2026-05-08_r2.md	0	3	superseded-memo-cite:3	a3_route2_single_clock_c3_obstruction_note_2026-05-08_r2	unaudited	unaudited	bounded_theorem	gravity-records
docs/A3_ROUTE3_ANOMALY_INFLOW_BOUNDED_OBSTRUCTION_NOTE_2026-05-08_r3.md	0	5	superseded-memo-cite:5	a3_route3_anomaly_inflow_bounded_obstruction_note_2026-05-08_r3	unaudited	unaudited	bounded_theorem	misc
docs/A3_ROUTE4_SPIN6_CHAIN_BOUNDED_OBSTRUCTION_NOTE_2026-05-08_r4.md	0	2	superseded-memo-cite:2	a3_route4_spin6_chain_bounded_obstruction_note_2026-05-08_r4	unaudited	unaudited	bounded_theorem	misc
docs/A3_ROUTE5_NO_PROPER_QUOTIENT_SHARPENED_OBSTRUCTION_NOTE_2026-05-08_r5.md	0	4	superseded-memo-cite:4	a3_route5_no_proper_quotient_sharpened_obstruction_note_2026-05-08_r5	unaudited	unaudited	bounded_theorem	misc
docs/ACPHILAMBDA_HW_COMPLEMENT_READING_REGISTRATION_EQUIVALENCE_BOUNDED_THEOREM_NOTE_2026-06-12.md	0	1	superseded-memo-cite:1	acphilambda_hw_complement_reading_registration_equivalence_bounded_theorem_note_2026-06-12	unaudited	unaudited	bounded_theorem	gravity-records
docs/ACPHILAMBDA_OCCUPANCY_SELECTION_REALIZED_STATE_REDUCTION_NOTE_2026-06-11.md	0	2	superseded-memo-cite:1,three-axiom-baseline:1	acphilambda_occupancy_selection_realized_state_reduction_note_2026-06-11	unaudited	unaudited	bounded_theorem	foundations-record-dynamics
docs/ACPHILAMBDA_R_ETA_READOUT_IDENTIFICATION_NARROWING_BOUNDED_THEOREM_NOTE_2026-06-11.md	0	1	superseded-memo-cite:1	acphilambda_r_eta_readout_identification_narrowing_bounded_theorem_note_2026-06-11	unaudited	unaudited	bounded_theorem	foundations-record-dynamics
docs/ACPHILAMBDA_R_ETA_W2_REGISTRABILITY_CONTEXT_BRIDGE_NOTE_2026-06-18.md	1	4	durable-registration:1,superseded-memo-cite:4	acphilambda_r_eta_w2_registrability_context_bridge_note_2026-06-18	unaudited	unaudited	bounded_theorem	misc
docs/ACPHILAMBDA_SPECIES_BRIDGE_REALIZED_STATE_DECOMPOSITION_NOTE_2026-06-11.md	0	1	superseded-memo-cite:1	acphilambda_species_bridge_realized_state_decomposition_note_2026-06-11	unaudited	unaudited	bounded_theorem	foundations-record-dynamics
docs/AC_PHI_LAMBDA_PRESERVED_C3_STRUCTURAL_FORECLOSURE_BOUNDED_THEOREM_NOTE_2026-05-10.md	0	4	superseded-memo-cite:4	ac_phi_lambda_preserved_c3_structural_foreclosure_bounded_theorem_note_2026-05-10	unaudited	unaudited	no_go	misc
docs/ADJACENCY_RANK_QUBIT_CLIFFORD_BOUND_NARROW_THEOREM_NOTE_2026-06-10.md	0	5	quantum-axiom-name:3,superseded-memo-cite:2	adjacency_rank_qubit_clifford_bound_narrow_theorem_note_2026-06-10	unaudited	unaudited	bounded_theorem	foundations-record-dynamics
docs/AI_METHODOLOGY_NOTE_2026-04-25.md	0	2	superseded-memo-cite:2	ai_methodology_note_2026-04-25	unaudited	meta	meta	misc
docs/ALLORDERS_B4_MARGINAL_PROTECTION_SYMMETRY_THEOREM_NOTE_2026-06-14.md	0	2	superseded-memo-cite:2	allorders_b4_marginal_protection_symmetry_theorem_note_2026-06-14	unaudited	unaudited	bounded_theorem	misc
docs/ALPHA_BARE_FOUR_PI_FROM_Z3_PLANCHEREL_BRIDGE_BOUNDED_NOTE_2026-05-26.md	1	1	lattice-quantum-record:1,superseded-memo-cite:1	alpha_bare_four_pi_from_z3_plancherel_bridge_bounded_note_2026-05-26	unaudited	unaudited	bounded_theorem	misc
docs/ALPHA_CONVENTION_I2_ACCEPTED_PREMISE_BRIDGE_BOUNDED_NOTE_2026-05-27.md	0	1	superseded-memo-cite:1	alpha_convention_i2_accepted_premise_bridge_bounded_note_2026-05-27	unaudited	unaudited	bounded_theorem	misc
docs/ALPHA_S_4LOOP_RUNNING_DERIVATION_PARTIAL_NOTE_2026-05-10_4loop.md	0	7	superseded-memo-cite:7	alpha_s_4loop_running_derivation_partial_note_2026-05-10_4loop	unaudited	unaudited	bounded_theorem	misc
docs/ALPHA_S_DIRECT_WILSON_LOOP_HONEST_STATUS_AUDIT_NOTE_2026-05-02.md	0	10	superseded-memo-cite:10	alpha_s_direct_wilson_loop_honest_status_audit_note_2026-05-02	unaudited	unaudited	open_gate	gauge-theta
docs/ALPHA_S_TADPOLE_IMPROVEMENT_VERTEX_POWER_NARROW_THEOREM_NOTE_2026-05-10.md	0	1	superseded-memo-cite:1	alpha_s_tadpole_improvement_vertex_power_narrow_theorem_note_2026-05-10	audited_clean	retained	positive_theorem	foundations-record-dynamics
docs/ANOMALY_CANCELLATION_PROOF_WALK_LATTICE_INDEPENDENCE_BOUNDED_NOTE_2026-05-08.md	0	1	superseded-memo-cite:1	anomaly_cancellation_proof_walk_lattice_independence_bounded_note_2026-05-08	unaudited	unaudited	bounded_theorem	misc
docs/ARROW_CPT_ORIENTATION_DO_NOT_SOURCE_CP_ODD_ACTION_COEFFICIENTS_NO_GO_NOTE_2026-06-08.md	1	2	lattice-quantum-record:1,superseded-memo-cite:2	arrow_cpt_orientation_do_not_source_cp_odd_action_coefficients_no_go_note_2026-06-08	unaudited	unaudited	no_go	gravity-records
docs/ARROW_FROM_RECORD_FORMATION_PAST_HYPOTHESIS_RESIDUAL_NOTE_2026-06-05.md	1	3	lattice-quantum-record:1,superseded-memo-cite:3	arrow_from_record_formation_past_hypothesis_residual_note_2026-06-05	audit_in_progress	audit_in_progress	bounded_theorem	foundations-record-dynamics
docs/AXIOM_FIRST_BEKENSTEIN_BOUND_THEOREM_NOTE_2026-05-01.md	0	2	superseded-memo-cite:2	axiom_first_bekenstein_bound_theorem_note_2026-05-01	unaudited	unaudited	bounded_theorem	foundations-record-dynamics
docs/AXIOM_FIRST_BIRKHOFF_THEOREM_NOTE_2026-05-01.md	0	2	superseded-memo-cite:2	axiom_first_birkhoff_theorem_note_2026-05-01	unaudited	unaudited	positive_theorem	foundations-record-dynamics
docs/AXIOM_FIRST_CL3_PER_SITE_UNIQUENESS_THEOREM_NOTE_2026-04-29.md	0	8	superseded-memo-cite:8	axiom_first_cl3_per_site_uniqueness_theorem_note_2026-04-29	unaudited	unaudited	bounded_theorem	foundations-record-dynamics
docs/AXIOM_FIRST_CLUSTER_DECOMPOSITION_TEMPORAL_NARROW_THEOREM_NOTE_2026-06-05.md	0	2	superseded-memo-cite:2	axiom_first_cluster_decomposition_temporal_narrow_theorem_note_2026-06-05	unaudited	unaudited	bounded_theorem	foundations-record-dynamics
docs/AXIOM_FIRST_CLUSTER_DECOMPOSITION_THEOREM_NOTE_2026-04-29.md	0	4	superseded-memo-cite:4	axiom_first_cluster_decomposition_theorem_note_2026-04-29	unaudited	unaudited	bounded_theorem	foundations-record-dynamics
docs/AXIOM_FIRST_CPT_THEOREM_STRETCH_NOTE_2026-04-29.md	0	13	superseded-memo-cite:13	axiom_first_cpt_theorem_stretch_note_2026-04-29	unaudited	unaudited	bounded_theorem	foundations-record-dynamics
docs/AXIOM_FIRST_FIRST_LAW_BH_MECHANICS_THEOREM_NOTE_2026-05-01.md	0	2	superseded-memo-cite:2	axiom_first_first_law_bh_mechanics_theorem_note_2026-05-01	unaudited	unaudited	bounded_theorem	foundations-record-dynamics
docs/AXIOM_FIRST_GENERALIZED_SECOND_LAW_THEOREM_NOTE_2026-05-01.md	0	2	superseded-memo-cite:2	axiom_first_generalized_second_law_theorem_note_2026-05-01	unaudited	unaudited	bounded_theorem	foundations-record-dynamics
docs/AXIOM_FIRST_HAWKING_TEMPERATURE_THEOREM_NOTE_2026-05-01.md	0	2	superseded-memo-cite:2	axiom_first_hawking_temperature_theorem_note_2026-05-01	unaudited	unaudited	bounded_theorem	foundations-record-dynamics
docs/AXIOM_FIRST_KMS_CONDITION_THEOREM_NOTE_2026-05-01.md	1	6	lattice-quantum-record:1,superseded-memo-cite:6	axiom_first_kms_condition_theorem_note_2026-05-01	unaudited	unaudited	positive_theorem	foundations-record-dynamics
